Property,Issue,Date,,,,
80 Hawthorn Street,With AG,Jul-15,,,,
80 Hawthorn Street,Receivership Properties ,Aug-15,,,,
80 Hawthorn Street,With AG,Oct-15,,,,
80 Hawthorn Street,With AG,Nov-15,,,,
80 Hawthorn Street,With AG,Dec-15,,,,
80 Hawthorn Street,With AG,Jan-16,,,,
80 Hawthorn Street,With AG,Feb-16,,,,
80 Hawthorn Street,With AG,Mar-16,,,,
80 Hawthorn Street,With AG,Apr-16,,,,
81 Grove Street,Occupied Problem Properties,Mar-17,,,,
81 Grove Street ,Other Problem Properties,Apr-15,,,,
84 Chester Avenue,With AG,Jan-15,,,,
84 Chester Avenue,With AG,Feb-15,,,,
84 Chester Avenue,With AG,Apr-15,,,,
84 Chester Avenue,With AG,Jul-15,,,,
84 Chester Avenue,Receivership Properties ,Aug-15,,,,
84 Chester Avenue,With AG,Oct-15,,,,
84 Chester Avenue,With AG,Nov-15,,,,
84 Chester Avenue,With AG,Dec-15,,,,
84 Chester Avenue,With AG,Jan-16,,,,
84 Chester Avenue,With AG,Feb-16,,,,
84 Chester Avenue,With AG,Mar-16,,,,
84 Chester Avenue,With AG,Apr-16,,,,
84 Chester Avenue,With AG,May-16,,,,
84 Chester Avenue,With AG,Jun-16,,,,
85 Willow Street,New Problem Properties,Jul-15,,,,
85 Willow Street,Occupied Problem Properties,Aug-15,,,,
85 Willow Street,New Problem Properties ,Jan-16,,,,
85 Willow Street,Occupied Problem Properties,Feb-16,,,,
85 Willow Street,Occupied Problem Properties ,Mar-16,,,,
85 Willow Street,Occupied Problem Properties,Apr-16,,,,
85 Willow Street,Occupied Problem Properties,May-16,,,,
85 Willow Street,Occupied Problem Properties,Jun-16,,,,
85 Willow Street,Occupied Problem Properties,Jul-16,,,,
85 Willow Street,Occupied Problem Properties,Sep-16,,,,
85 Willow Street,Occupied Problem Properties ,Oct-16,,,,
85 Willow Street,Occupied Problem Properties,Nov-16,,,,
85 Willow Street,Tax Title or Receivership,Jan-17,,,,
85 Willow Street,Tax Title or Receivership,Feb-17,,,,
85 Willow Street,Tax Title or Receivership,Mar-17,,,,
855 Broadway,Other Problem Properties,Apr-16,,,,
855 Broadway ,Other Problem Properties,Mar-16,,,,
87 Bellingham Street,Occupied Problem Propeties,Jan-16,,,,
87 Bellingham Street,Occupied Problem Properties,Feb-16,,,,
87 Bellingham Street,Occupied Problem Properties ,Mar-16,,,,
87 Bellingham Street,Occupied Problem Properties,Apr-16,,,,
87 Bellingham Street,Occupied Problem Properties,May-16,,,,
87 Bellingham Street,Occupied Problem Properties,Jun-16,,,,
87 Bellingham Street,Occupied Problem Properties,Jul-16,,,,
911 Broadway,With AG,Apr-15,,,,
911 Broadway,With AG,Jul-15,,,,
911 Broadway,With AG,Nov-15,,,,
911 Broadway,With AG,Dec-15,,,,
911 Broadway,With AG,Jan-16,,,,
911 Broadway,With AG,Feb-16,,,,
911 Broadway,With AG,Mar-16,,,,
911 Broadway ,With AG,Jan-15,,,,
911 Broadway ,Other Problem Properties,Feb-15,,,,
911 Broadway ,Receivership Properties ,Aug-15,,,,
911 Broadway ,With AG,Oct-15,,,,
911 Broadway ,With AG,Apr-16,,,,
97 Carroll Street,New Problem Properties,Jul-15,,,,
971 Broadway,Tax Title or Receivership,Feb-16,,,,
971 Broadway,Other Problem Properties,Jul-16,,,,
971 Broadway,Other Problem Properties,Sep-16,,,,
971 Broadway,Other Problem Properties,Oct-16,,,,
971 Broadway,Other Problem Properties,Nov-16,,,,
971 Broadway,Tax Title or Receivership,Mar-17,,,,
971 Broadway ,Tax Title or Receivership,Dec-15,,,,
971 Broadway ,Tax Title or Receivership,Jan-16,,,,
971 Broadway ,Tax Title or Receivership,Mar-16,,,,
971 Broadway ,Tax Title or Receivership,Jan-17,,,,
971 Broadway ,Tax Title or Receivership,Feb-17,,,,
98 Bellingham Street,In House,Jan-15,,,,
98 Bellingham Street,In House,Apr-15,,,,
98 Bellingham Street,With AG,Jul-15,,,,
98 Bellingham Street,Receivership Properties ,Aug-15,,,,
98 Bellingham Street,With AG,Oct-15,,,,
98 Bellingham Street,With AG,Nov-15,,,,
98 Bellingham Street,Occupied Problem Properties,Apr-16,,,,
98 Bellingham Street,Occupied Problem Properties,May-16,,,,
98 Bellingham Street,Occupied Problem Properties,Jun-16,,,,
98 Bellingham Street,Occupied Problem Properties,Jul-16,,,,
98 Bellingham Street,Occupied Problem Properties,Sep-16,,,,
98 Bellingham Street,Occupied Problem Properties,Nov-16,,,,
98 Bellingham Street,Occupied Problem Properties,Jan-17,,,,
98 Bellingham Street,Other Problem Properties,Feb-17,,,,
98 Bellingham Street,Vacant Problem Properties,Mar-17,Notes ,,,
98 Bellingham Street ,New business,Feb-16,,,,
98 Bellingham Street ,Occupied Problem Properties ,Mar-16,,,,
98 Bellingham Stret,With AG,Dec-15,,,,
98 Bellngham Street,Occupied Problem Properties ,Oct-16,,,,
Ellsworth Place ,Nuisance Properties Program ,Oct-15,,,,
Ellsworth Place ,Nuisance Properties Program ,Nov-15,,,,
Ellsworth Place ,Other Problem Properties ,Jun-16,,,,
Ellsworth Place ,Other Problem Properties ,Jul-16,,,,
Ellsworth Place ,Other Problem Properties ,Sep-16,,,,
Ellsworth Place ,Other Problem Properties ,Oct-16,,,,
Ellsworth Place ,Other Problem Properties ,Nov-16,,,,
Ellsworth Place ,Tax Title or Receivership,Jan-17,,,,
Ellsworth Place ,Tax Title or Receivership,Feb-17,,,,
Ellsworth Place ,Tax Title or Receivership,Mar-17,,,,
Muffin Town ,Other Problem Properties,Jul-16,,,,
